YEAR,FARMS,FARM_CHANGE,FARM_PCT_CHANGE
1910,6406200,NA,NA%
1911,6424600,18400,0.3%
1912,6429900,5300,0.1%
1913,6437200,7300,0.1%
1914,6446800,9600,0.1%
1915,6457700,10900,0.2%
1916,6463300,5600,0.1%
1917,6477600,14300,0.2%
1918,6487500,9900,0.2%
1919,6506000,18500,0.3%
1920,6517500,11500,0.2%
1921,6510700,-6800,-0.1%
1922,6499600,-11100,-0.2%
1923,6491800,-7800,-0.1%
1924,6480100,-11700,-0.2%
1925,6470600,-9500,-0.1%
1926,6461600,-9000,-0.1%
1927,6458100,-3500,-0.1%
1928,6469700,11600,0.2%
1929,6511600,41900,0.6%
1930,6545600,34000,0.5%
1931,6608500,62900,1.0%
1932,6686750,78250,1.2%
1933,6740750,54000,0.8%
1934,6775900,35150,0.5%
1935,6813700,37800,0.6%
1936,6739150,-74550,-1.1%
1937,6635850,-103300,-1.5%
1938,6526700,-109150,-1.6%
1939,6440900,-85800,-1.3%
1940,6349800,-91100,-1.4%
1941,6293250,-56550,-0.9%
1942,6201800,-91450,-1.5%
1943,6089000,-112800,-1.8%
1944,6003400,-85600,-1.4%
1945,5966750,-36650,-0.6%
1946,5925650,-41100,-0.7%
1947,5870950,-54700,-0.9%
1948,5803000,-67950,-1.2%
1949,5722250,-80750,-1.4%
1950,5647800,-74450,-1.3%
1951,5427600,-220200,-3.9%
1952,5197500,-230100,-4.2%
1953,4983600,-213900,-4.1%
1954,4798200,-185400,-3.7%
1955,4653800,-144400,-3.0%
1956,4514100,-139700,-3.0%
1957,4371700,-142400,-3.2%
1958,4232900,-138800,-3.2%
1959,4104520,-128380,-3.0%
1960,3962520,-142000,-3.5%
1961,3825410,-137110,-3.5%
1962,3692410,-133000,-3.5%
1963,3572200,-120210,-3.3%
1964,3456690,-115510,-3.2%
1965,3356170,-100520,-2.9%
1966,3257040,-99130,-3.0%
1967,3161730,-95310,-2.9%
1968,3070860,-90870,-2.9%
1969,3000180,-70680,-2.3%
1970,2949140,-51040,-1.7%
1971,2902310,-46830,-1.6%
1972,2859880,-42430,-1.5%
1973,2823260,-36620,-1.3%
1974,2795460,-27800,-1.0%
1975,2521420,-274040,-9.8%
1976,2497270,-24150,-1.0%
1977,2455830,-41440,-1.7%
1978,2436250,-19580,-0.8%
1979,2437300,1050,0.0%
1980,2439510,2210,0.1%
1981,2439920,410,0.0%
1982,2406550,-33370,-1.4%
1983,2378620,-27930,-1.2%
1984,2333810,-44810,-1.9%
1985,2292530,-41280,-1.8%
1986,2249820,-42710,-1.9%
1987,2212960,-36860,-1.6%
1988,2200940,-12020,-0.5%
1989,2174520,-26420,-1.2%
1990,2145820,-28700,-1.3%
1991,2116760,-29060,-1.4%
1992,2107840,-8920,-0.4%
1993,2201590,93750,4.4%
1994,2197690,-3900,-0.2%
1995,2196400,-1290,-0.1%
1996,2190500,-5900,-0.3%
1997,2190510,10,0.0%
1998,2192330,1820,0.1%
1999,2187280,-5050,-0.2%
2000,2166780,-20500,-0.9%
2001,2148630,-18150,-0.8%
2002,2135360,-13270,-0.6%
2003,2126860,-8500,-0.4%
2004,2112970,-13890,-0.7%
2005,2098690,-14280,-0.7%
2006,2088790,-9900,-0.5%
2007,2204950,116160,5.6%
2008,2184500,-20450,-0.9%
2009,2169660,-14840,-0.7%
2010,2149520,-20140,-0.9%
2011,2131240,-18280,-0.9%
2012,2109810,-21430,-1.0%
2013,2102010,-7800,-0.4%
2014,2085000,-17010,-0.8%
2015,2068000,-17000,-0.8%
2016,2060000,-8000,-0.4%
2017,2048000,-12000,-0.6%
