SNAPSHOT,SNAPFILE,SNAPPEND,SNAPCLOS,CASEKEY,CIRCUIT,DISTRICT,OFFICE,DOCKET,GEN,SEQ,ORIGIN,ORGFLDT,FILEDATE,FILECY,FILEFY,ORGFLCHP,CRNTCHP,ORGNTRDBT,NTRDBT,JOINT,D1ZIP,D1CNTY,ORGD1FPRSE,D1FPRSE,D1CHGDT,D2ZIP,D2CNTY,ORGD2FPRSE,D2FPRSE,D2CHGDT,ORGFEESTS,FEESTS,CASETYP,ORGDBTRTYP,DBTRTYP,NOB,PRFILE,ORGEASST,EASST,ORGELBLTS,ELBLTS,ORGECRDTRS,ECRDTRS,ORGASSTCASE,ASSTCASE,SMLLBUS,PREPACK,TOTASSTS,REALPROP,PERSPROP,TOTLBLTS,SECURED,UNSECPR,UNSECNPR,DSCHRGD,NDSCHRGD,TOTDBT,CNTMNTHI,AVGMNTHI,AVGMNTHE,SRCCASE,DSTNCASE,CNSLLEAD,JNTLEAD,FLCMECFV,CLOSEDT,CLOSECY,CLOSEFY,CLCHPT,D1CPRSE,D1FDSP,D1FDSPDT,D1FDSPCY,D1FDSPFY,D2CPRSE,D2FDSP,D2FDSPDT,D2FDSPCY,D2FDSPFY,C11DVDND,C11FTRPAY,CLCMECFV,TAXEXEMPT,org_chap,crnt_chap,cl_chap,result,result2,DISTRICT_NS
2008-09-30,1,1,0,01001071092500,01,00,1,0710925,0,0,,NA,2007-11-20,2007,2008,12,12,b,b,n,047350000,23003,n,n,2007-11-20,,,,,NA,p,p,v,i,i,n,n,A,A,A,A,A,A,y,y,,,2273551,866000,1407551,1547875.52,1061775,33636.52,452464,0,0,0,NA,2500,2500,,,,,0.0.0,NA,NA,NA,,,,NA,NA,NA,,,NA,NA,NA,NA,,,N,12,12,,open,open,ME
2008-09-30,1,1,0,01001081023100,01,00,1,0810231,0,0,,NA,2008-03-24,2008,2008,12,12,b,b,y,046580000,23029,n,n,2008-03-24,046580000,23029,n,n,2008-03-24,p,p,v,i,i,n,n,D,D,D,D,A,A,y,y,,,1090335,889700,200635,1107356.16,905306.5,12954,189095.66,NA,NA,NA,NA,32203.28,32148,,,,,0.0.0,NA,NA,NA,,,,NA,NA,NA,,,NA,NA,NA,NA,,,N,12,12,,open,open,ME
2008-09-30,1,1,0,01001081078100,01,00,1,0810781,0,0,,NA,2008-08-05,2008,2008,12,12,b,b,n,045760000,23015,n,n,2008-08-05,,,,,NA,p,p,v,i,i,n,n,B,B,C,C,A,A,y,y,,,145300,50000,95300,103972.22,95487,110.31,8374.91,NA,NA,NA,NA,2000,1100.01,,,,,0.0.0,NA,NA,NA,,,,NA,NA,NA,,,NA,NA,NA,NA,,,N,12,12,,open,open,ME
2008-09-30,1,1,0,01002072101600,01,00,2,0721016,0,0,,NA,2007-11-06,2007,2008,12,12,b,b,n,040020000,23031,n,n,2007-11-06,,,,,NA,p,p,v,u,u,n,n,A,A,C,C,A,A,y,y,,,289335.82,0,289335.82,1260922.52,1099980.06,1500,159442.46,0,0,0,NA,NA,NA,,,,,0.0.0,NA,NA,NA,,,,NA,NA,NA,,,NA,NA,NA,NA,,,N,12,12,,open,open,ME
2008-09-30,1,1,0,01002072101700,01,00,2,0721017,0,0,,NA,2007-11-06,2007,2008,12,12,b,b,n,040020000,23031,n,n,2007-11-06,,,,,NA,p,p,v,u,u,n,n,A,A,C,C,A,A,y,y,,,255915.69,0,255915.69,1056228.01,877656.96,1500,177071.05,0,0,0,NA,NA,NA,,,,,0.0.0,NA,NA,NA,,,,NA,NA,NA,,,NA,NA,NA,NA,,,N,12,12,,open,open,ME
2008-09-30,1,1,0,01002072101800,01,00,2,0721018,0,0,,NA,2007-11-06,2007,2008,12,12,b,b,n,040020000,23031,n,n,2007-11-06,,,,,NA,p,p,v,u,u,n,n,A,A,C,C,A,A,y,y,,,1258361.36,1200000,58361.36,1327541.36,1277541.36,0,50000,0,0,0,NA,NA,NA,,,,,0.0.0,NA,NA,NA,,,,NA,NA,NA,,,NA,NA,NA,NA,,,N,12,12,,open,open,ME
2008-09-30,1,1,0,01002072101900,01,00,2,0721019,0,0,,NA,2007-11-06,2007,2008,12,12,b,b,y,040020000,23031,n,n,2007-11-06,040020000,23031,n,n,2007-11-06,p,p,v,i,i,n,n,A,A,C,C,A,A,y,y,,,1204979,1175000,29979,2192222.63,1916960.66,0,275261.97,0,0,0,NA,10040,10040,,,,,0.0.0,NA,NA,NA,,,,NA,NA,NA,,,NA,NA,NA,NA,,,N,12,12,,open,open,ME
2008-09-30,1,1,0,01002082055700,01,00,2,0820557,0,0,,NA,2008-05-22,2008,2008,12,12,b,b,y,040460000,23031,n,n,2008-05-22,040460000,23031,n,n,2008-05-22,p,p,v,i,i,n,n,A,A,A,A,A,A,y,y,,,1613697,1088000,525697,513190.71,495000,0,18190.71,NA,NA,NA,NA,13083,12446,,,,,0.0.0,NA,NA,NA,,,,NA,NA,NA,,,NA,NA,NA,NA,,,N,12,12,,open,open,ME
2008-09-30,1,0,1,01011071743700,01,01,1,0717437,0,0,,NA,2007-11-20,2007,2008,12,7,b,b,n,027700000,25023,n,n,2007-11-20,,,,,NA,p,p,v,i,i,n,n,C,C,C,C,A,A,y,n,,,195647,162500,33147,330387.17,321176.59,0,9210.58,330387.17,0,330387.17,0,4000,3680,,,,,0.0.0,2008-09-02,2008,2008,7,n,A,NA,NA,NA,,,NA,NA,NA,NA,,0.0.0,N,12,7,7,discharge,,MA
2008-09-30,1,1,0,01011071754600,01,01,1,0717546,0,0,,NA,2007-11-27,2007,2008,12,12,b,b,n,027690000,25005,n,n,2007-11-27,,,,,NA,p,p,v,i,i,n,n,C,C,C,C,A,A,y,y,,,416300,400000,16300,527608.29,481000,4000,42608.29,527608.29,0,527608.29,0,27950,29800,,,,,0.0.0,NA,NA,NA,,,,NA,NA,NA,,,NA,NA,NA,NA,,,N,12,12,,open,open,MA
