YEAR,FIPS,PERSONS,FARMS,FARM_CHANGE,FARM_PCT_CHANGE
2017,01001,1139,371,-18,-0.04627249357326478
2017,01003,2533,842,-147,-0.1486349848331648
2017,01005,1410,498,-73,-0.12784588441331
2017,01007,647,205,16,0.08465608465608465
2017,01009,3497,1146,-95,-0.07655116841257051
2017,01011,722,255,-18,-0.06593406593406594
2017,01013,1176,420,13,0.03194103194103194
2017,01015,1954,643,51,0.08614864864864864
2017,01017,1001,331,30,0.09966777408637874
2017,01019,1604,530,-31,-0.05525846702317291
2017,01021,1368,463,-80,-0.14732965009208104
2017,01023,514,188,-60,-0.24193548387096775
2017,01025,922,320,57,0.21673003802281368
2017,01027,1147,381,-20,-0.04987531172069826
2017,01029,945,319,-22,-0.06451612903225806
2017,01031,2296,788,-111,-0.12347052280311457
2017,01033,1713,591,-96,-0.13973799126637554
2017,01035,954,344,-2,-0.005780346820809248
2017,01037,599,215,63,0.4144736842105263
2017,01039,2594,907,-144,-0.13701236917221693
2017,01041,1574,543,-32,-0.05565217391304348
2017,01043,5269,1781,-226,-0.11260587942202292
2017,01045,1304,469,-18,-0.03696098562628337
2017,01047,1535,528,22,0.043478260869565216
2017,01049,5858,1939,-96,-0.04717444717444717
2017,01051,1621,538,-14,-0.025362318840579712
2017,01053,1266,437,-17,-0.037444933920704845
2017,01055,2480,817,-36,-0.04220398593200469
2017,01057,934,324,-90,-0.21739130434782608
2017,01059,2157,729,-96,-0.11636363636363636
2017,01061,2386,820,-197,-0.19370698131760078
2017,01063,961,325,21,0.06907894736842106
2017,01065,1258,393,-63,-0.13815789473684212
2017,01067,1465,455,-43,-0.08634538152610442
2017,01069,2035,698,-118,-0.14460784313725492
2017,01071,4116,1355,-21,-0.015261627906976744
2017,01073,1177,387,-7,-0.017766497461928935
2017,01075,758,269,-84,-0.23796033994334279
2017,01077,3940,1309,-157,-0.10709413369713507
2017,01079,3794,1252,-299,-0.19277885235332043
2017,01081,983,314,-1,-0.0031746031746031746
2017,01083,3565,1156,-74,-0.06016260162601626
2017,01085,1495,512,71,0.16099773242630386
2017,01087,1148,373,21,0.05965909090909091
2017,01089,3062,1021,-12,-0.011616650532429816
2017,01091,1501,471,-28,-0.056112224448897796
2017,01093,1709,582,-133,-0.18601398601398603
2017,01095,4668,1444,-61,-0.04053156146179402
2017,01097,2161,653,-45,-0.06446991404011461
2017,01099,1310,477,-3,-0.00625
2017,01101,1628,575,-28,-0.04643449419568822
2017,01103,3505,1164,-73,-0.05901374292643492
2017,01105,1087,349,-40,-0.10282776349614396
2017,01107,1096,377,-56,-0.12933025404157045
2017,01109,1820,594,-6,-0.01
2017,01111,1847,597,-14,-0.022913256955810146
2017,01113,894,296,16,0.05714285714285714
2017,01115,1664,490,-50,-0.09259259259259259
2017,01117,1378,447,46,0.11471321695760599
2017,01119,1126,367,-61,-0.1425233644859813
2017,01121,1608,566,47,0.0905587668593449
2017,01123,1015,347,2,0.005797101449275362
2017,01125,1678,557,60,0.12072434607645875
2017,01127,1372,501,19,0.03941908713692946
2017,01129,1272,435,64,0.1725067385444744
2017,01131,933,318,2,0.006329113924050633
2017,01133,1340,484,-36,-0.06923076923076923
2017,02010,207,46,6,0.15
2017,02020,1192,350,59,0.2027491408934708
2017,02090,891,274,57,0.2626728110599078
2017,02110,276,60,8,0.15384615384615385
2017,02122,833,260,98,0.6049382716049383
2017,04001,21828,5551,-40,-0.007154355213736362
2017,04003,3357,1083,-10,-0.009149130832570906
2017,04005,9494,2142,-97,-0.04332291201429209
2017,04007,877,298,103,0.5282051282051282
2017,04009,1531,448,36,0.08737864077669903
2017,04011,440,123,-36,-0.22641509433962265
2017,04012,334,97,-28,-0.224
2017,04013,5883,1874,-605,-0.24405002016942315
2017,04015,1134,317,-18,-0.05373134328358209
2017,04017,16293,4205,359,0.09334373374934997
2017,04019,1957,661,-194,-0.22690058479532163
2017,04021,2795,762,-176,-0.18763326226012794
2017,04023,725,219,-17,-0.07203389830508475
2017,04025,2514,850,-90,-0.09574468085106383
2017,04027,1766,456,-106,-0.18861209964412812
2017,05001,1791,488,-4,-0.008130081300813009
2017,05003,1096,353,-23,-0.061170212765957445
2017,05005,1365,479,-82,-0.14616755793226383
2017,05007,5861,1936,-221,-0.1024571163653222
2017,05009,3933,1313,31,0.02418096723868955
2017,05011,482,181,-4,-0.021621621621621623
2017,05013,273,101,9,0.09782608695652174
2017,05015,3763,1169,43,0.03818827708703375
2017,05017,1013,291,-22,-0.07028753993610223
2017,05019,1090,377,-4,-0.010498687664041995
2017,05021,1706,542,-68,-0.11147540983606558
2017,05023,2024,676,-121,-0.15181932245922208
2017,05025,580,205,-6,-0.02843601895734597
2017,05027,807,297,19,0.0683453237410072
2017,05029,2465,768,-48,-0.058823529411764705
2017,05031,1561,523,-60,-0.10291595197255575
2017,05033,2314,799,-87,-0.0981941309255079
2017,05035,1016,262,-1,-0.0038022813688212928
2017,05037,1103,300,-25,-0.07692307692307693
2017,05039,430,126,36,0.4
2017,05041,948,275,31,0.12704918032786885
2017,05043,1068,318,10,0.032467532467532464
2017,05045,3688,1191,-97,-0.07531055900621118
2017,05047,2392,752,-77,-0.09288299155609167
2017,05049,2694,795,42,0.055776892430278883
2017,05051,1096,357,-4,-0.0110803324099723
2017,05053,748,281,24,0.0933852140077821
2017,05055,2087,631,-80,-0.11251758087201125
2017,05057,1851,613,-135,-0.1804812834224599
2017,05059,1608,563,27,0.05037313432835821
2017,05061,1962,586,34,0.06159420289855073
2017,05063,2695,890,-113,-0.11266201395812563
2017,05065,1884,632,-1,-0.001579778830963665
2017,05067,1316,424,-13,-0.029748283752860413
2017,05069,1532,436,-8,-0.018018018018018018
2017,05071,1688,577,-47,-0.07532051282051282
2017,05073,956,287,24,0.09125475285171103
2017,05075,1660,535,-24,-0.04293381037567084
2017,05077,752,221,1,0.004545454545454545
2017,05079,1187,369,-8,-0.021220159151193633
2017,05081,1204,414,-34,-0.07589285714285714
2017,05083,2584,873,-96,-0.09907120743034056
2017,05085,2347,702,-65,-0.0847457627118644
2017,05087,3633,1229,-21,-0.0168
2017,05089,1853,587,102,0.21030927835051547
2017,05091,1541,513,-12,-0.022857142857142857
2017,05093,1027,284,-63,-0.18155619596541786
2017,05095,625,186,-44,-0.19130434782608696
2017,05097,1115,428,-21,-0.0467706013363029
2017,05099,1152,355,4,0.011396011396011397
2017,05101,1558,537,-111,-0.1712962962962963
2017,05103,667,205,23,0.12637362637362637
2017,05105,1239,397,-22,-0.05250596658711217
2017,05107,783,231,-51,-0.18085106382978725
2017,05109,1202,394,48,0.13872832369942195
2017,05111,1342,363,-34,-0.08564231738035265
2017,05113,2143,793,-100,-0.11198208286674133
2017,05115,2623,919,-58,-0.0593654042988741
2017,05117,1263,350,-95,-0.21348314606741572
2017,05119,1278,411,-6,-0.014388489208633094
2017,05121,2210,657,-10,-0.014992503748125937
2017,05123,907,278,-48,-0.147239263803681
2017,05125,1138,371,-15,-0.038860103626943004
2017,05127,1648,528,-74,-0.12292358803986711
2017,05129,1904,631,39,0.06587837837837837
2017,05131,2153,706,-64,-0.08311688311688312
2017,05133,1683,540,-3,-0.0055248618784530384
2017,05135,1727,622,-26,-0.040123456790123455
2017,05137,1620,526,3,0.0057361376673040155
2017,05139,844,268,-12,-0.04285714285714286
2017,05141,1988,611,24,0.04088586030664395
2017,05143,6990,2279,-223,-0.0891286970423661
2017,05145,4925,1613,-223,-0.12145969498910675
2017,05147,663,187,-30,-0.1382488479262673
2017,05149,2198,718,-76,-0.09571788413098237
2017,06001,1690,446,-6,-0.01327433628318584
2017,06003,17,6,3,1
2017,06005,1544,482,21,0.0455531453362256
2017,06007,6445,1912,-144,-0.07003891050583658
2017,06009,2234,699,36,0.05429864253393665
2017,06011,2671,751,-31,-0.03964194373401535
2017,06013,1456,459,-143,-0.23754152823920266
2017,06015,318,90,-31,-0.256198347107438
2017,06017,4237,1390,32,0.023564064801178203
2017,06019,17921,4774,-909,-0.15995073024810838
2017,06021,4189,1173,-138,-0.10526315789473684
2017,06023,2806,849,-81,-0.08709677419354839
2017,06025,1615,396,-25,-0.05938242280285035
2017,06027,274,85,-40,-0.32
2017,06029,6853,1731,-207,-0.10681114551083591
2017,06031,3775,963,-93,-0.08806818181818182
2017,06033,1992,636,-202,-0.24105011933174225
2017,06035,1309,377,-71,-0.15848214285714285
2017,06037,3568,1035,-259,-0.20015455950540958
2017,06039,5102,1386,-121,-0.08029197080291971
2017,06041,1135,343,20,0.06191950464396285
2017,06043,1009,299,-65,-0.17857142857142858
2017,06045,3386,1128,-92,-0.07540983606557378
2017,06047,9596,2337,-149,-0.059935639581657284
2017,06049,1524,423,-14,-0.032036613272311214
2017,06051,202,65,-7,-0.09722222222222222
2017,06053,4239,1104,-75,-0.06361323155216285
2017,06055,7370,1866,181,0.10741839762611276
2017,06057,1946,673,-69,-0.09299191374663072
2017,06059,649,193,-119,-0.3814102564102564
2017,06061,3923,1237,-118,-0.08708487084870849
2017,06063,473,162,21,0.14893617021276595
2017,06065,9348,2667,-282,-0.09562563580874874
2017,06067,3866,1161,-191,-0.14127218934911243
2017,06069,2010,610,-18,-0.028662420382165606
2017,06071,3380,1062,-187,-0.14971977582065651
2017,06073,15824,5082,-650,-0.11339846475924634
2017,06075,23,10,4,0.6666666666666666
2017,06077,12766,3430,-150,-0.04189944134078212
2017,06079,7850,2349,-317,-0.11890472618154539
2017,06081,847,241,-93,-0.27844311377245506
2017,06083,5759,1467,-130,-0.08140262993112085
2017,06085,2979,890,-113,-0.11266201395812563
2017,06087,2184,625,-42,-0.06296851574212893
2017,06089,3979,1337,-207,-0.13406735751295337
2017,06091,132,38,-10,-0.20833333333333334
2017,06093,2246,745,-184,-0.19806243272335844
2017,06095,2945,849,-11,-0.012790697674418604
2017,06097,11890,3594,15,0.004191114836546521
2017,06099,13424,3621,-522,-0.12599565532223025
2017,06101,4854,1157,-201,-0.1480117820324006
2017,06103,4710,1479,-264,-0.1514629948364888
2017,06105,540,185,-62,-0.25101214574898784
2017,06107,15592,4187,-744,-0.15088217400121678
2017,06109,1327,417,26,0.06649616368286446
2017,06111,7519,2135,-15,-0.0069767441860465115
2017,06113,3384,949,-62,-0.06132542037586548
2017,06115,2696,764,-31,-0.0389937106918239
2017,08001,3237,905,64,0.07609988109393578
2017,08003,946,280,-42,-0.13043478260869565
2017,08005,2794,851,96,0.1271523178807947
2017,08007,1211,399,27,0.07258064516129033
2017,08009,2091,667,-70,-0.09497964721845319
2017,08011,793,274,-3,-0.010830324909747292
2017,08013,3020,1012,157,0.18362573099415205
2017,08014,101,38,13,0.52
2017,08015,859,289,66,0.29596412556053814
2017,08017,1254,377,32,0.0927536231884058
2017,08019,90,33,8,0.32
2017,08021,1873,524,-81,-0.13388429752066117
2017,08023,728,229,-22,-0.08764940239043825
2017,08025,827,246,18,0.07894736842105263
2017,08027,879,315,117,0.5909090909090909
2017,08029,4813,1615,365,0.292
2017,08031,38,12,2,0.2
2017,08033,962,313,30,0.10600706713780919
2017,08035,3802,1223,107,0.09587813620071685
2017,08037,834,257,92,0.5575757575757576
2017,08039,5192,1632,302,0.22706766917293233
2017,08041,4118,1345,139,0.11525704809286899
2017,08043,3036,1034,225,0.27812113720642767
2017,08045,2091,661,36,0.0576
2017,08047,88,37,13,0.5416666666666666
2017,08049,915,290,85,0.4146341463414634
2017,08051,974,309,65,0.26639344262295084
2017,08053,143,26,0,0
2017,08055,1392,437,30,0.07371007371007371
2017,08057,438,131,26,0.24761904761904763
2017,08059,2028,597,76,0.14587332053742802
2017,08061,1291,388,-7,-0.017721518987341773
