STATE,DISTRICT,DISTRICT_NS,CIRCUIT,CHAP_12_full,QTR_ENDED,DATE,CHAP_12,impute,impute1
NA,TOTAL,NA,TOTAL,1006,06/30/97,1997-06-30,271,271,NA
DISTRICT OF COLUMBIA,DISTRICT OF COLUMBIA,DC,DC CIRCUIT,0,06/30/97,1997-06-30,0,0,NA
NA,TOTAL,NA,FIRST CIRCUIT,8,06/30/97,1997-06-30,3,3,NA
MAINE,MAINE,ME,FIRST CIRCUIT,3,06/30/97,1997-06-30,0,0,NA
MASSACHUSETTS,MASSACHUSETTS,MA,FIRST CIRCUIT,0,06/30/97,1997-06-30,0,0,NA
NEW HAMPSHIRE,NEW HAMPSHIRE,NH,FIRST CIRCUIT,3,06/30/97,1997-06-30,2,2,NA
RHODE ISLAND,RHODE ISLAND,RI,FIRST CIRCUIT,0,06/30/97,1997-06-30,0,0,NA
PUERTO RICO,PUERTO RICO,PR,FIRST CIRCUIT,2,06/30/97,1997-06-30,1,1,NA
NA,TOTAL,NA,SECOND CIRCUIT,50,06/30/97,1997-06-30,12,12,NA
CONNECTICUT,CONNECTICUT,CT,SECOND CIRCUIT,2,06/30/97,1997-06-30,1,1,NA
NEW YORK,NEW YORK NORTHERN,NYN,SECOND CIRCUIT,34,06/30/97,1997-06-30,6,6,NA
NEW YORK,NEW YORK EASTERN,NYE,SECOND CIRCUIT,0,06/30/97,1997-06-30,0,0,NA
NEW YORK,NEW YORK SOUTHERN,NYS,SECOND CIRCUIT,4,06/30/97,1997-06-30,0,0,NA
NEW YORK,NEW YORK WESTERN,NYW,SECOND CIRCUIT,6,06/30/97,1997-06-30,3,3,NA
VERMONT,VERMONT,VT,SECOND CIRCUIT,4,06/30/97,1997-06-30,2,2,NA
NA,TOTAL,NA,THIRD CIRCUIT,27,06/30/97,1997-06-30,5,5,NA
DELAWARE,DELAWARE,DE,THIRD CIRCUIT,2,06/30/97,1997-06-30,1,1,NA
NEW JERSEY,NEW JERSEY,NJ,THIRD CIRCUIT,1,06/30/97,1997-06-30,0,0,NA
PENNSYLVANIA,PENNSYLVANIA EASTERN,PAE,THIRD CIRCUIT,11,06/30/97,1997-06-30,2,2,NA
PENNSYLVANIA,PENNSYLVANIA MIDDLE,PAM,THIRD CIRCUIT,5,06/30/97,1997-06-30,2,2,NA
PENNSYLVANIA,PENNSYLVANIA WESTERN,PAW,THIRD CIRCUIT,8,06/30/97,1997-06-30,0,0,NA
VIRGIN ISLANDS,VIRGIN ISLANDS,VI,THIRD CIRCUIT,0,06/30/97,1997-06-30,0,0,NA
NA,TOTAL,NA,FOURTH CIRCUIT,34,06/30/97,1997-06-30,6,6,NA
MARYLAND,MARYLAND,MD,FOURTH CIRCUIT,5,06/30/97,1997-06-30,1,1,NA
NORTH CAROLINA,NORTH CAROLINA EASTERN,NCE,FOURTH CIRCUIT,11,06/30/97,1997-06-30,3,3,NA
NORTH CAROLINA,NORTH CAROLINA MIDDLE,NCM,FOURTH CIRCUIT,1,06/30/97,1997-06-30,0,0,NA
NORTH CAROLINA,NORTH CAROLINA WESTERN,NCW,FOURTH CIRCUIT,1,06/30/97,1997-06-30,0,0,NA
SOUTH CAROLINA,SOUTH CAROLINA,SC,FOURTH CIRCUIT,6,06/30/97,1997-06-30,1,1,NA
VIRGINIA,VIRGINIA EASTERN,VAE,FOURTH CIRCUIT,3,06/30/97,1997-06-30,0,0,NA
VIRGINIA,VIRGINIA WESTERN,VAW,FOURTH CIRCUIT,6,06/30/97,1997-06-30,0,0,NA
WEST VIRGINIA,WEST VIRGINIA NORTHERN,WVN,FOURTH CIRCUIT,1,06/30/97,1997-06-30,1,1,NA
