YEAR,NAME,ST,FIPS,TOTAL_FILINGS,CHAP_7,CHAP_11,CHAP_12,CHAP_13,TOTAL_BUSINESS_FILINGS,BCHAP_7,BCHAP_11,BCHAP_12,BCHAP_13,TOTAL_NON_BUSINESS_FILINGS,NBCHAP_7,NBCHAP_11,NBCHAP_13
1997,TOTAL...,,,1404145,989372,10765,949,403025,54027,32255,9694,949,11095,1350118,957117,1071,391930
1997,DC......,,,2530,1630,63,-,836,100,33,48,-,18,2430,1597,15,818
1997,AUTAUGA,,1001,1,-,-,-,1,-,-,-,-,-,1,-,-,1
1997,AUTAUGA,,1001,261,127,1,-,133,9,3,1,-,5,252,124,-,128
1997,AUTAUGA,,1001,1,1,-,-,-,-,-,-,-,-,1,1,-,-
1997,AUTAUGA,,1001,1,1,-,-,-,-,-,-,-,-,1,1,-,-
1997,BALDWIN,,1003,1,1,-,-,-,1,1,-,-,-,-,-,-,-
1997,BALDWIN,,1003,1,1,-,-,-,-,-,-,-,-,1,1,-,-
1997,BALDWIN,,1003,4,3,-,-,1,-,-,-,-,-,4,3,-,1
1997,BALDWIN,,1003,1,1,-,-,-,-,-,-,-,-,1,1,-,-
1997,BALDWIN,,1003,681,406,4,-,271,33,18,3,-,12,648,388,1,259
1997,BARBOUR,,1005,1,1,-,-,-,-,-,-,-,-,1,1,-,-
1997,BARBOUR,,1005,2,1,-,-,1,-,-,-,-,-,2,1,-,1
1997,BARBOUR,,1005,106,52,-,-,54,7,4,-,-,3,99,48,-,51
1997,BIBB,,1007,187,42,-,-,145,9,3,-,-,6,178,39,-,139
1997,BIBB,,1007,3,3,-,-,-,-,-,-,-,-,3,3,-,-
1997,BLOUNT,,1009,289,152,2,1,134,5,-,2,1,2,284,152,-,132
1997,BULLOCK,,1011,1,-,-,-,1,-,-,-,-,-,1,-,-,1
1997,BULLOCK,,1011,32,8,-,-,24,-,-,-,-,-,32,8,-,24
1997,BUTLER,,1013,1,1,-,-,-,-,-,-,-,-,1,1,-,-
1997,BUTLER,,1013,147,68,-,-,79,16,12,-,-,4,131,56,-,75
1997,BUTLER,,1013,1,1,-,-,-,1,1,-,-,-,-,-,-,-
1997,CALHOUN,,1015,2,2,-,-,-,2,2,-,-,-,-,-,-,-
1997,CALHOUN,,1015,1108,534,6,-,568,9,4,3,-,2,1099,530,3,566
