"FIPS","COUNTY","STATE","DISTRICT","CIRCUIT"
"01001","AUTAUGA","ALABAMA","ALABAMA MIDDLE","ELEVENTH CIRCUIT"
"01003","BALDWIN","ALABAMA","ALABAMA SOUTHERN","ELEVENTH CIRCUIT"
"01005","BARBOUR","ALABAMA","ALABAMA MIDDLE","ELEVENTH CIRCUIT"
"01007","BIBB","ALABAMA","ALABAMA NORTHERN","ELEVENTH CIRCUIT"
"01009","BLOUNT","ALABAMA","ALABAMA NORTHERN","ELEVENTH CIRCUIT"
"01011","BULLOCK","ALABAMA","ALABAMA MIDDLE","ELEVENTH CIRCUIT"
"01013","BUTLER","ALABAMA","ALABAMA MIDDLE","ELEVENTH CIRCUIT"
"01015","CALHOUN","ALABAMA","ALABAMA NORTHERN","ELEVENTH CIRCUIT"
"01017","CHAMBERS","ALABAMA","ALABAMA MIDDLE","ELEVENTH CIRCUIT"
"01019","CHEROKEE","ALABAMA","ALABAMA NORTHERN","ELEVENTH CIRCUIT"
"01021","CHILTON","ALABAMA","ALABAMA MIDDLE","ELEVENTH CIRCUIT"
"01023","CHOCTAW","ALABAMA","ALABAMA SOUTHERN","ELEVENTH CIRCUIT"
"01025","CLARKE","ALABAMA","ALABAMA SOUTHERN","ELEVENTH CIRCUIT"
"01027","CLAY","ALABAMA","ALABAMA NORTHERN","ELEVENTH CIRCUIT"
"01029","CLEBURNE","ALABAMA","ALABAMA NORTHERN","ELEVENTH CIRCUIT"
"01031","COFFEE","ALABAMA","ALABAMA MIDDLE","ELEVENTH CIRCUIT"
"01033","COLBERT","ALABAMA","ALABAMA NORTHERN","ELEVENTH CIRCUIT"
"01035","CONECUH","ALABAMA","ALABAMA SOUTHERN","ELEVENTH CIRCUIT"
"01037","COOSA","ALABAMA","ALABAMA MIDDLE","ELEVENTH CIRCUIT"
"01039","COVINGTON","ALABAMA","ALABAMA MIDDLE","ELEVENTH CIRCUIT"
"01041","CRENSHAW","ALABAMA","ALABAMA MIDDLE","ELEVENTH CIRCUIT"
"01043","CULLMAN","ALABAMA","ALABAMA NORTHERN","ELEVENTH CIRCUIT"
"01045","DALE","ALABAMA","ALABAMA MIDDLE","ELEVENTH CIRCUIT"
"01047","DALLAS","ALABAMA","ALABAMA SOUTHERN","ELEVENTH CIRCUIT"
"01049","DEKALB","ALABAMA","ALABAMA NORTHERN","ELEVENTH CIRCUIT"
"01051","ELMORE","ALABAMA","ALABAMA MIDDLE","ELEVENTH CIRCUIT"
"01053","ESCAMBIA","ALABAMA","ALABAMA SOUTHERN","ELEVENTH CIRCUIT"
"01055","ETOWAH","ALABAMA","ALABAMA NORTHERN","ELEVENTH CIRCUIT"
"01057","FAYETTE","ALABAMA","ALABAMA NORTHERN","ELEVENTH CIRCUIT"
"01059","FRANKLIN","ALABAMA","ALABAMA NORTHERN","ELEVENTH CIRCUIT"
"01061","GENEVA","ALABAMA","ALABAMA MIDDLE","ELEVENTH CIRCUIT"
"01063","GREENE","ALABAMA","ALABAMA NORTHERN","ELEVENTH CIRCUIT"
"01065","HALE","ALABAMA","ALABAMA SOUTHERN","ELEVENTH CIRCUIT"
"01067","HENRY","ALABAMA","ALABAMA MIDDLE","ELEVENTH CIRCUIT"
"01069","HOUSTON","ALABAMA","ALABAMA MIDDLE","ELEVENTH CIRCUIT"
"01071","JACKSON","ALABAMA","ALABAMA NORTHERN","ELEVENTH CIRCUIT"
"01073","JEFFERSON","ALABAMA","ALABAMA NORTHERN","ELEVENTH CIRCUIT"
"01075","LAMAR","ALABAMA","ALABAMA NORTHERN","ELEVENTH CIRCUIT"
"01077","LAUDERDALE","ALABAMA","ALABAMA NORTHERN","ELEVENTH CIRCUIT"
"01079","LAWRENCE","ALABAMA","ALABAMA NORTHERN","ELEVENTH CIRCUIT"
"01081","LEE","ALABAMA","ALABAMA MIDDLE","ELEVENTH CIRCUIT"
"01083","LIMESTONE","ALABAMA","ALABAMA NORTHERN","ELEVENTH CIRCUIT"
"01085","LOWNDES","ALABAMA","ALABAMA MIDDLE","ELEVENTH CIRCUIT"
"01087","MACON","ALABAMA","ALABAMA MIDDLE","ELEVENTH CIRCUIT"
"01089","MADISON","ALABAMA","ALABAMA NORTHERN","ELEVENTH CIRCUIT"
"01091","MARENGO","ALABAMA","ALABAMA SOUTHERN","ELEVENTH CIRCUIT"
"01093","MARION","ALABAMA","ALABAMA NORTHERN","ELEVENTH CIRCUIT"
"01095","MARSHALL","ALABAMA","ALABAMA NORTHERN","ELEVENTH CIRCUIT"
"01097","MOBILE","ALABAMA","ALABAMA SOUTHERN","ELEVENTH CIRCUIT"
