STATE,DISTRICT,DISTRICT_NS,CIRCUIT,TOTAL_FILINGS,CHAP_7,CHAP_11,CHAP_12,CHAP_13,TOTAL_BUSINESS_FILINGS,BCHAP_7,BCHAP_11,BCHAP_12,BCHAP_13,TOTAL_NON_BUSINESS_FILINGS,NBCHAP_7,NBCHAP_11,NBCHAP_13,QTR_ENDED,DATE,FISCAL_YEAR
DISTRICT OF COLUMBIA,DISTRICT OF COLUMBIA,DC,DC CIRCUIT,2413,1555,66,0,791,109,35,50,0,23,2304,1520,16,768,09/30/97,1997-09-30,1997
MAINE,MAINE,ME,FIRST CIRCUIT,3990,3596,16,2,376,315,220,16,2,77,3675,3376,0,299,09/30/97,1997-09-30,1997
MASSACHUSETTS,MASSACHUSETTS,MA,FIRST CIRCUIT,23401,19955,323,0,3122,1000,573,312,0,114,22401,19382,11,3008,09/30/97,1997-09-30,1997
NEW HAMPSHIRE,NEW HAMPSHIRE,NH,FIRST CIRCUIT,4586,4261,42,3,280,103,58,39,3,3,4483,4203,3,277,09/30/97,1997-09-30,1997
RHODE ISLAND,RHODE ISLAND,RI,FIRST CIRCUIT,5273,5037,24,0,212,177,135,24,0,18,5096,4902,0,194,09/30/97,1997-09-30,1997
PUERTO RICO,PUERTO RICO,PR,FIRST CIRCUIT,14164,4226,106,3,9829,161,79,75,3,4,14003,4147,31,9825,09/30/97,1997-09-30,1997
CONNECTICUT,CONNECTICUT,CT,SECOND CIRCUIT,13160,11550,138,3,1469,206,97,104,3,2,12954,11453,34,1467,09/30/97,1997-09-30,1997
NEW YORK,NEW YORK NORTHERN,NYN,SECOND CIRCUIT,15837,13262,91,32,2451,772,483,90,32,166,15065,12779,1,2285,09/30/97,1997-09-30,1997
NEW YORK,NEW YORK EASTERN,NYE,SECOND CIRCUIT,28535,23098,404,0,5033,530,205,319,0,6,28005,22893,85,5027,09/30/97,1997-09-30,1997
NEW YORK,NEW YORK SOUTHERN,NYS,SECOND CIRCUIT,15693,13337,622,1,1726,868,265,570,1,25,14825,13072,52,1701,09/30/97,1997-09-30,1997
