STATE,DISTRICT,DISTRICT_NS,CIRCUIT,CHAP_12,QTR_ENDED,DATE,FISCAL_YEAR
,TOTAL,,TOTAL,1096,09/30/96,1996-09-30,1996
DISTRICT OF COLUMBIA,DISTRICT OF COLUMBIA,DC,DC CIRCUIT,0,09/30/96,1996-09-30,1996
,TOTAL,,FIRST CIRCUIT,13,09/30/96,1996-09-30,1996
MAINE,MAINE,ME,FIRST CIRCUIT,5,09/30/96,1996-09-30,1996
MASSACHUSETTS,MASSACHUSETTS,MA,FIRST CIRCUIT,3,09/30/96,1996-09-30,1996
NEW HAMPSHIRE,NEW HAMPSHIRE,NH,FIRST CIRCUIT,1,09/30/96,1996-09-30,1996
RHODE ISLAND,RHODE ISLAND,RI,FIRST CIRCUIT,0,09/30/96,1996-09-30,1996
PUERTO RICO,PUERTO RICO,PR,FIRST CIRCUIT,4,09/30/96,1996-09-30,1996
,TOTAL,,SECOND CIRCUIT,39,09/30/96,1996-09-30,1996
CONNECTICUT,CONNECTICUT,CT,SECOND CIRCUIT,1,09/30/96,1996-09-30,1996
NEW YORK,NEW YORK NORTHERN,NYN,SECOND CIRCUIT,24,09/30/96,1996-09-30,1996
NEW YORK,NEW YORK EASTERN,NYE,SECOND CIRCUIT,0,09/30/96,1996-09-30,1996
NEW YORK,NEW YORK SOUTHERN,NYS,SECOND CIRCUIT,4,09/30/96,1996-09-30,1996
NEW YORK,NEW YORK WESTERN,NYW,SECOND CIRCUIT,3,09/30/96,1996-09-30,1996
VERMONT,VERMONT,VT,SECOND CIRCUIT,7,09/30/96,1996-09-30,1996
,TOTAL,,THIRD CIRCUIT,20,09/30/96,1996-09-30,1996
DELAWARE,DELAWARE,DE,THIRD CIRCUIT,3,09/30/96,1996-09-30,1996
NEW JERSEY,NEW JERSEY,NJ,THIRD CIRCUIT,3,09/30/96,1996-09-30,1996
PENNSYLVANIA,PENNSYLVANIA EASTERN,PAE,THIRD CIRCUIT,5,09/30/96,1996-09-30,1996
PENNSYLVANIA,PENNSYLVANIA MIDDLE,PAM,THIRD CIRCUIT,2,09/30/96,1996-09-30,1996
PENNSYLVANIA,PENNSYLVANIA WESTERN,PAW,THIRD CIRCUIT,7,09/30/96,1996-09-30,1996
