STATE,DISTRICT,DISTRICT_NS,CIRCUIT,CIRCUIT_NUM,DATE,month,TOTAL_FILINGS,CHAP_7,CHAP_11,CHAP_12,CHAP_13,TOTAL_BUSINESS_FILINGS,BCHAP_7,BCHAP_11,BCHAP_12,BCHAP_13,TOTAL_NON_BUSINESS_FILINGS,NBCHAP_7,NBCHAP_11,NBCHAP_13,TOTAL_OTHER,TOTAL_BCHAP_OTHER,CHAP_9,CHAP_15,OTHERS,QTR_ENDED,YEAR,FISCAL_YEAR,ST_ABRV
ALABAMA,ALABAMA MIDDLE,ALM,ELEVENTH CIRCUIT,11TH,2013-01-31,1,638,132,1,0,505,12,9,0,0,3,626,123,1,502,NA,NA,NA,NA,NA,2013.1,2013,2013,AL
ALABAMA,ALABAMA NORTHERN,ALN,ELEVENTH CIRCUIT,11TH,2013-01-31,1,1055,494,8,0,553,27,19,7,0,1,1028,475,1,552,NA,NA,NA,NA,NA,2013.1,2013,2013,AL
ALABAMA,ALABAMA SOUTHERN,ALS,ELEVENTH CIRCUIT,11TH,2013-01-31,1,341,79,3,0,259,9,6,3,0,0,332,73,0,259,NA,NA,NA,NA,NA,2013.1,2013,2013,AL
ALASKA,ALASKA,AK,NINTH CIRCUIT,9TH,2013-01-31,1,59,37,0,0,11,15,3,0,0,1,44,34,0,10,NA,NA,NA,NA,NA,2013.1,2013,2013,AK
ARIZONA,ARIZONA,AZ,NINTH CIRCUIT,9TH,2013-01-31,1,1513,1259,19,0,235,64,46,13,0,5,1449,1213,6,230,NA,NA,NA,NA,NA,2013.1,2013,2013,AZ
ARKANSAS,ARKANSAS EASTERN,ARE,EIGHTH CIRCUIT,8TH,2013-01-31,1,608,259,1,1,347,6,3,1,1,1,602,256,0,346,NA,NA,NA,NA,NA,2013.1,2013,2013,AR
ARKANSAS,ARKANSAS WESTERN,ARW,EIGHTH CIRCUIT,8TH,2013-01-31,1,355,208,3,0,144,11,8,2,0,1,344,200,1,143,NA,NA,NA,NA,NA,2013.1,2013,2013,AR
CALIFORNIA,CALIFORNIA CENTRAL,CAC,NINTH CIRCUIT,9TH,2013-01-31,1,6835,5326,47,0,1462,201,162,26,0,13,6634,5164,21,1449,NA,NA,NA,NA,NA,2013.1,2013,2013,CA
CALIFORNIA,CALIFORNIA EASTERN,CAE,NINTH CIRCUIT,9TH,2013-01-31,1,2401,1934,11,3,453,87,69,8,3,7,2314,1865,3,446,NA,NA,NA,NA,NA,2013.1,2013,2013,CA
CALIFORNIA,CALIFORNIA NORTHERN,CAN,NINTH CIRCUIT,9TH,2013-01-31,1,1836,1051,24,1,760,59,41,14,1,3,1777,1010,10,757,NA,NA,NA,NA,NA,2013.1,2013,2013,CA
CALIFORNIA,CALIFORNIA SOUTHERN,CAS,NINTH CIRCUIT,9TH,2013-01-31,1,1167,882,12,0,273,52,38,7,0,7,1115,844,5,266,NA,NA,NA,NA,NA,2013.1,2013,2013,CA
COLORADO,COLORADO,CO,TENTH CIRCUIT,10TH,2013-01-31,1,1465,1133,13,0,319,62,46,13,0,3,1403,1087,0,316,NA,NA,NA,NA,NA,2013.1,2013,2013,CO
CONNECTICUT,CONNECTICUT,CT,SECOND CIRCUIT,2ND,2013-01-31,1,623,545,14,0,64,33,19,14,0,0,590,526,0,64,NA,NA,NA,NA,NA,2013.1,2013,2013,CT
DELAWARE,DELAWARE,DE,THIRD CIRCUIT,3RD,2013-01-31,1,196,123,29,0,44,36,7,29,0,0,160,116,0,44,NA,NA,NA,NA,NA,2013.1,2013,2013,DE
DISTRICT OF COLUMBIA,DISTRICT OF COLUMBIA,DC,DC CIRCUIT,DC,2013-01-31,1,64,49,1,0,14,4,3,0,0,1,60,46,1,13,NA,NA,NA,NA,NA,2013.1,2013,2013,DC
FLORIDA,FLORIDA MIDDLE,FLM,ELEVENTH CIRCUIT,11TH,2013-01-31,1,3298,2312,54,2,930,165,100,44,2,19,3133,2212,10,911,NA,NA,NA,NA,NA,2013.1,2013,2013,FL
FLORIDA,FLORIDA NORTHERN,FLN,ELEVENTH CIRCUIT,11TH,2013-01-31,1,256,208,7,1,40,22,14,6,1,1,234,194,1,39,NA,NA,NA,NA,NA,2013.1,2013,2013,FL
FLORIDA,FLORIDA SOUTHERN,FLS,ELEVENTH CIRCUIT,11TH,2013-01-31,1,2548,1714,28,0,806,87,56,23,0,8,2461,1658,5,798,NA,NA,NA,NA,NA,2013.1,2013,2013,FL
GEORGIA,GEORGIA MIDDLE,GAM,ELEVENTH CIRCUIT,11TH,2013-01-31,1,705,247,4,0,454,22,16,4,0,2,683,231,0,452,NA,NA,NA,NA,NA,2013.1,2013,2013,GA
GEORGIA,GEORGIA NORTHERN,GAN,ELEVENTH CIRCUIT,11TH,2013-01-31,1,2749,1618,12,2,1117,84,66,12,2,4,2665,1552,0,1113,NA,NA,NA,NA,NA,2013.1,2013,2013,GA
GEORGIA,GEORGIA SOUTHERN,GAS,ELEVENTH CIRCUIT,11TH,2013-01-31,1,694,154,3,0,537,13,8,3,0,2,681,146,0,535,NA,NA,NA,NA,NA,2013.1,2013,2013,GA
