year,farms,sharecroppers,bankruptcies,bankruptcies_stam,agland,equity,assets,debt,net_cash_income,real_estate_debt,real_estate,deflator
1899,5620099,386085,1926,1926,,,,,,,,
1900,5737372,399678,2064,2064,,,,,,,,
1901,5799785,407001,1464,1464,,,,,,,,
1902,5862198,414321,1327,1327,,,,,,,,
1903,5924611,421641,977,977,,,,,,,,
1904,5987024,428961,884,884,,,,,,,,
1905,6049437,436281,832,832,,,,,,,,
1906,6111850,443601,844,844,,,,,,,,
1907,6174263,450921,1065,1065,,,,,,,,
1908,6236676,458241,835,835,,,,,,,,
1909,6299089,465561,797,797,,,,,,,,
1910,6361502,472881,849,849,40,34722000000,39847000000,5125000000,3009202000,,31770000000,
1911,6370187,482299,679,679,41,35464000000,40977000000,5513000000,2789293000,,32653000000,
1912,6378871,491720,837,837,42,36413000000,42508000000,6095000000,3009292000,,33535000000,
1913,6387555,501141,942,942,43,37577000000,44082000000,6505000000,3117299000,,35300000000,
1914,6396239,510562,1045,1045,44,37920000000,44657000000,6737000000,2868213000,,35300000000,
1915,6404923,519983,1246,1246,43,40304000000,47512000000,7208000000,3146385000,,37065000000,
1916,6413607,529404,1658,1658,46,44138000000,52317000000,8179000000,3939032000,,40595000000,
1917,6422291,538825,1906,1906,49,49676000000,59236000000,9560000000,5881770000,,44125000000,
1918,6430975,548246,1632,1632,53,54510000000,64844000000,10334000000,7433778000,,48538000000,
1919,6439659,557667,1207,1207,58,62202000000,74991000000,12789000000,7889575000,,58245000000,
1920,6448343,567088,997,997,69,52701000000,67602000000,14901000000,5634512000,,54715000000,
1921,6433002,579613,1363,1363,65,44174000000,58381000000,14207000000,2987781000,,47655000000,
1922,6417661,592139,3236,3236,57,43628000000,57588000000,13960000000,3428269000,,46773000000,
1923,6402320,604665,5940,5940,56,41975000000,55646000000,13671000000,4041350000,,44125000000,
1924,6386979,617191,7772,7772,54,42238000000,54903000000,12665000000,4343058000,,43243000000,
1925,6371640,629717,7872,7872,54,41809000000,54489000000,12680000000,5167205000,,43243000000,
1926,6355042,660467,7769,7769,52,40902000000,53278000000,12376000000,4704780000,,42360000000,
1927,6338444,691215,6296,6296,50,41362000000,53801000000,12439000000,4805772000,,42360000000,
1928,6321846,721963,5679,5679,49,42374000000,54890000000,12516000000,4779900000,,42360000000,
