year,farmer_bankruptcies
1899,1926
1900,2064
1901,1464
1902,1327
1903,977
1904,884
1905,832
1906,844
1907,1065
1908,835
1909,797
1910,849
1911,679
1912,837
1913,942
1914,1045
1915,1246
1916,1658
1917,1906
1918,1632
1919,1207
1920,997
1921,1363
1922,3236
1923,5940
1924,7772
1925,7872
1926,7769
1927,6296
1928,5679
1929,4939
1930,4644
1931,4023
1932,4849
1933,5917
1934,4716
1935,4311
1936,3646
1937,2482
1938,1800
1939,1426
1940,2678
1941,2367
1942,2048
1943,1151
1944,512
1945,305
1946,260
1947,183
1948,167
1949,232
1950,290
1951,205
1952,196
1953,214
1954,322
1955,386
1956,400
1957,405
1958,332
1959,408
1960,453
1961,546
1962,548
1963,554
1964,565
1965,589
1966,551
1967,443
1968,567
1969,606
1970,658
1971,788
1972,631
1973,431
1974,308
1975,550
1976,672
1977,736
1978,751
1979,592
