DATE,DISTRICT_NS,STATE,DISTRICT,CIRCUIT,CIRCUIT_NUM,CHAP_12_j,CHAP_12_j_q,CHAP_12_q,CHAP_12_impute,impute,YEAR,FISCAL_YEAR
1986-12-31,ALM,ALABAMA,ALABAMA MIDDLE,ELEVENTH CIRCUIT,11TH,NA,9.75,NA,9.75,NA,1986,1987
1987-03-31,ALM,ALABAMA,ALABAMA MIDDLE,ELEVENTH CIRCUIT,11TH,NA,9.75,NA,9.75,26,1987,1987
1987-06-30,ALM,ALABAMA,ALABAMA MIDDLE,ELEVENTH CIRCUIT,11TH,NA,9.75,NA,9.75,10,1987,1987
1987-09-30,ALM,ALABAMA,ALABAMA MIDDLE,ELEVENTH CIRCUIT,11TH,39,9.75,NA,9.75,1,1987,1987
1987-12-31,ALM,ALABAMA,ALABAMA MIDDLE,ELEVENTH CIRCUIT,11TH,NA,2.25,NA,2.25,5,1987,1988
1988-03-31,ALM,ALABAMA,ALABAMA MIDDLE,ELEVENTH CIRCUIT,11TH,NA,2.25,NA,2.25,5,1988,1988
1988-06-30,ALM,ALABAMA,ALABAMA MIDDLE,ELEVENTH CIRCUIT,11TH,NA,2.25,NA,2.25,-1,1988,1988
1988-09-30,ALM,ALABAMA,ALABAMA MIDDLE,ELEVENTH CIRCUIT,11TH,9,2.25,NA,2.25,0,1988,1988
1988-12-31,ALM,ALABAMA,ALABAMA MIDDLE,ELEVENTH CIRCUIT,11TH,NA,3,NA,3,4.5,1988,1989
1989-03-31,ALM,ALABAMA,ALABAMA MIDDLE,ELEVENTH CIRCUIT,11TH,NA,3,NA,3,4.5,1989,1989
1989-06-30,ALM,ALABAMA,ALABAMA MIDDLE,ELEVENTH CIRCUIT,11TH,NA,3,NA,3,0,1989,1989
1989-09-30,ALM,ALABAMA,ALABAMA MIDDLE,ELEVENTH CIRCUIT,11TH,12,3,NA,3,3,1989,1989
1989-12-31,ALM,ALABAMA,ALABAMA MIDDLE,ELEVENTH CIRCUIT,11TH,NA,1.25,NA,1.25,0,1989,1990
1990-03-31,ALM,ALABAMA,ALABAMA MIDDLE,ELEVENTH CIRCUIT,11TH,NA,1.25,NA,1.25,6,1990,1990
1990-06-30,ALM,ALABAMA,ALABAMA MIDDLE,ELEVENTH CIRCUIT,11TH,NA,1.25,NA,1.25,-1,1990,1990
1990-09-30,ALM,ALABAMA,ALABAMA MIDDLE,ELEVENTH CIRCUIT,11TH,5,1.25,NA,1.25,0,1990,1990
1990-12-31,ALM,ALABAMA,ALABAMA MIDDLE,ELEVENTH CIRCUIT,11TH,NA,0.5,NA,0.5,1,1990,1991
1991-03-31,ALM,ALABAMA,ALABAMA MIDDLE,ELEVENTH CIRCUIT,11TH,NA,0.5,NA,0.5,3,1991,1991
1991-06-30,ALM,ALABAMA,ALABAMA MIDDLE,ELEVENTH CIRCUIT,11TH,NA,0.5,NA,0.5,-2,1991,1991
1991-09-30,ALM,ALABAMA,ALABAMA MIDDLE,ELEVENTH CIRCUIT,11TH,2,0.5,NA,0.5,0,1991,1991
1991-12-31,ALM,ALABAMA,ALABAMA MIDDLE,ELEVENTH CIRCUIT,11TH,NA,0.5,NA,0.5,0,1991,1992
1992-03-31,ALM,ALABAMA,ALABAMA MIDDLE,ELEVENTH CIRCUIT,11TH,NA,0.5,NA,0.5,2,1992,1992
1992-06-30,ALM,ALABAMA,ALABAMA MIDDLE,ELEVENTH CIRCUIT,11TH,NA,0.5,NA,0.5,-2,1992,1992
1992-09-30,ALM,ALABAMA,ALABAMA MIDDLE,ELEVENTH CIRCUIT,11TH,2,0.5,NA,0.5,2,1992,1992
1992-12-31,ALM,ALABAMA,ALABAMA MIDDLE,ELEVENTH CIRCUIT,11TH,NA,1,NA,1,2,1992,1993
1993-03-31,ALM,ALABAMA,ALABAMA MIDDLE,ELEVENTH CIRCUIT,11TH,NA,1,NA,1,1,1993,1993
1993-06-30,ALM,ALABAMA,ALABAMA MIDDLE,ELEVENTH CIRCUIT,11TH,NA,1,NA,1,1,1993,1993
1993-09-30,ALM,ALABAMA,ALABAMA MIDDLE,ELEVENTH CIRCUIT,11TH,4,1,NA,1,0,1993,1993
1993-12-31,ALM,ALABAMA,ALABAMA MIDDLE,ELEVENTH CIRCUIT,11TH,NA,0.75,NA,0.75,0,1993,1994
1994-03-31,ALM,ALABAMA,ALABAMA MIDDLE,ELEVENTH CIRCUIT,11TH,NA,0.75,NA,0.75,0,1994,1994
1994-06-30,ALM,ALABAMA,ALABAMA MIDDLE,ELEVENTH CIRCUIT,11TH,NA,0.75,NA,0.75,3,1994,1994
1994-09-30,ALM,ALABAMA,ALABAMA MIDDLE,ELEVENTH CIRCUIT,11TH,3,0.75,NA,0.75,0,1994,1994
1994-12-31,ALM,ALABAMA,ALABAMA MIDDLE,ELEVENTH CIRCUIT,11TH,NA,0.75,NA,0.75,2,1994,1995
1995-03-31,ALM,ALABAMA,ALABAMA MIDDLE,ELEVENTH CIRCUIT,11TH,NA,0.75,NA,0.75,0,1995,1995
1995-06-30,ALM,ALABAMA,ALABAMA MIDDLE,ELEVENTH CIRCUIT,11TH,NA,0.75,NA,0.75,1,1995,1995
1995-09-30,ALM,ALABAMA,ALABAMA MIDDLE,ELEVENTH CIRCUIT,11TH,3,0.75,NA,0.75,0,1995,1995
1995-12-31,ALM,ALABAMA,ALABAMA MIDDLE,ELEVENTH CIRCUIT,11TH,NA,0.5,0,0,0,1995,1996
1996-03-31,ALM,ALABAMA,ALABAMA MIDDLE,ELEVENTH CIRCUIT,11TH,NA,0.5,0,0,0,1996,1996
1996-06-30,ALM,ALABAMA,ALABAMA MIDDLE,ELEVENTH CIRCUIT,11TH,NA,0.5,1,1,1,1996,1996
1996-09-30,ALM,ALABAMA,ALABAMA MIDDLE,ELEVENTH CIRCUIT,11TH,2,0.5,1,1,1,1996,1996
1996-12-31,ALM,ALABAMA,ALABAMA MIDDLE,ELEVENTH CIRCUIT,11TH,NA,2,1,1,1,1996,1997
1997-03-31,ALM,ALABAMA,ALABAMA MIDDLE,ELEVENTH CIRCUIT,11TH,NA,2,1,1,1,1997,1997
1997-06-30,ALM,ALABAMA,ALABAMA MIDDLE,ELEVENTH CIRCUIT,11TH,NA,2,4,4,4,1997,1997
1997-09-30,ALM,ALABAMA,ALABAMA MIDDLE,ELEVENTH CIRCUIT,11TH,8,2,2,2,2,1997,1997
1997-12-31,ALM,ALABAMA,ALABAMA MIDDLE,ELEVENTH CIRCUIT,11TH,NA,1.5,0,0,0,1997,1998
1998-03-31,ALM,ALABAMA,ALABAMA MIDDLE,ELEVENTH CIRCUIT,11TH,NA,1.5,5,5,5,1998,1998
1998-06-30,ALM,ALABAMA,ALABAMA MIDDLE,ELEVENTH CIRCUIT,11TH,NA,1.5,0,0,0,1998,1998
1998-09-30,ALM,ALABAMA,ALABAMA MIDDLE,ELEVENTH CIRCUIT,11TH,6,1.5,1,1,1,1998,1998
1998-12-31,ALM,ALABAMA,ALABAMA MIDDLE,ELEVENTH CIRCUIT,11TH,NA,0.75,0,0,0,1998,1999
1999-03-31,ALM,ALABAMA,ALABAMA MIDDLE,ELEVENTH CIRCUIT,11TH,NA,0.75,0,0,0,1999,1999
1999-06-30,ALM,ALABAMA,ALABAMA MIDDLE,ELEVENTH CIRCUIT,11TH,NA,0.75,1,1,1,1999,1999
1999-09-30,ALM,ALABAMA,ALABAMA MIDDLE,ELEVENTH CIRCUIT,11TH,3,0.75,2,2,2,1999,1999
1999-12-31,ALM,ALABAMA,ALABAMA MIDDLE,ELEVENTH CIRCUIT,11TH,NA,1.25,2,2,2,1999,2e3
2000-03-31,ALM,ALABAMA,ALABAMA MIDDLE,ELEVENTH CIRCUIT,11TH,NA,1.25,3,3,3,2e3,2e3
2000-06-30,ALM,ALABAMA,ALABAMA MIDDLE,ELEVENTH CIRCUIT,11TH,NA,1.25,0,0,0,2e3,2e3
2000-09-30,ALM,ALABAMA,ALABAMA MIDDLE,ELEVENTH CIRCUIT,11TH,5,1.25,0,0,0,2e3,2e3
2000-12-31,ALM,ALABAMA,ALABAMA MIDDLE,ELEVENTH CIRCUIT,11TH,NA,0,0,0,0,2e3,2001
2001-03-31,ALM,ALABAMA,ALABAMA MIDDLE,ELEVENTH CIRCUIT,11TH,NA,0,0,0,0,2001,2001
2001-06-30,ALM,ALABAMA,ALABAMA MIDDLE,ELEVENTH CIRCUIT,11TH,NA,0,0,0,0,2001,2001
2001-09-30,ALM,ALABAMA,ALABAMA MIDDLE,ELEVENTH CIRCUIT,11TH,0,0,0,0,0,2001,2001
2001-12-31,ALM,ALABAMA,ALABAMA MIDDLE,ELEVENTH CIRCUIT,11TH,NA,0,0,0,0,2001,2002
2002-03-31,ALM,ALABAMA,ALABAMA MIDDLE,ELEVENTH CIRCUIT,11TH,NA,0,0,0,0,2002,2002
2002-06-30,ALM,ALABAMA,ALABAMA MIDDLE,ELEVENTH CIRCUIT,11TH,NA,0,0,0,0,2002,2002
2002-09-30,ALM,ALABAMA,ALABAMA MIDDLE,ELEVENTH CIRCUIT,11TH,0,0,0,0,0,2002,2002
2002-12-31,ALM,ALABAMA,ALABAMA MIDDLE,ELEVENTH CIRCUIT,11TH,NA,0.25,0,0,0,2002,2003
2003-03-31,ALM,ALABAMA,ALABAMA MIDDLE,ELEVENTH CIRCUIT,11TH,NA,0.25,0,0,0,2003,2003
2003-06-30,ALM,ALABAMA,ALABAMA MIDDLE,ELEVENTH CIRCUIT,11TH,NA,0.25,0,0,0,2003,2003
2003-09-30,ALM,ALABAMA,ALABAMA MIDDLE,ELEVENTH CIRCUIT,11TH,1,0.25,1,1,1,2003,2003
2003-12-31,ALM,ALABAMA,ALABAMA MIDDLE,ELEVENTH CIRCUIT,11TH,NA,0.25,1,1,1,2003,2004
2004-03-31,ALM,ALABAMA,ALABAMA MIDDLE,ELEVENTH CIRCUIT,11TH,NA,0.25,0,0,0,2004,2004
2004-06-30,ALM,ALABAMA,ALABAMA MIDDLE,ELEVENTH CIRCUIT,11TH,NA,0.25,0,0,0,2004,2004
2004-09-30,ALM,ALABAMA,ALABAMA MIDDLE,ELEVENTH CIRCUIT,11TH,1,0.25,0,0,0,2004,2004
2004-12-31,ALM,ALABAMA,ALABAMA MIDDLE,ELEVENTH CIRCUIT,11TH,NA,0,0,0,0,2004,2005
2005-03-31,ALM,ALABAMA,ALABAMA MIDDLE,ELEVENTH CIRCUIT,11TH,NA,0,0,0,0,2005,2005
2005-06-30,ALM,ALABAMA,ALABAMA MIDDLE,ELEVENTH CIRCUIT,11TH,NA,0,0,0,0,2005,2005
2005-09-30,ALM,ALABAMA,ALABAMA MIDDLE,ELEVENTH CIRCUIT,11TH,0,0,0,0,0,2005,2005
2005-12-31,ALM,ALABAMA,ALABAMA MIDDLE,ELEVENTH CIRCUIT,11TH,NA,0,0,0,0,2005,2006
2006-03-31,ALM,ALABAMA,ALABAMA MIDDLE,ELEVENTH CIRCUIT,11TH,NA,0,0,0,0,2006,2006
2006-06-30,ALM,ALABAMA,ALABAMA MIDDLE,ELEVENTH CIRCUIT,11TH,NA,0,0,0,0,2006,2006
2006-09-30,ALM,ALABAMA,ALABAMA MIDDLE,ELEVENTH CIRCUIT,11TH,0,0,0,0,0,2006,2006
2006-12-31,ALM,ALABAMA,ALABAMA MIDDLE,ELEVENTH CIRCUIT,11TH,NA,1,1,1,1,2006,2007
2007-03-31,ALM,ALABAMA,ALABAMA MIDDLE,ELEVENTH CIRCUIT,11TH,NA,1,0,0,0,2007,2007
2007-06-30,ALM,ALABAMA,ALABAMA MIDDLE,ELEVENTH CIRCUIT,11TH,NA,1,2,2,2,2007,2007
2007-09-30,ALM,ALABAMA,ALABAMA MIDDLE,ELEVENTH CIRCUIT,11TH,4,1,1,1,1,2007,2007
2007-12-31,ALM,ALABAMA,ALABAMA MIDDLE,ELEVENTH CIRCUIT,11TH,NA,1,1,1,1,2007,2008
2008-03-31,ALM,ALABAMA,ALABAMA MIDDLE,ELEVENTH CIRCUIT,11TH,NA,1,3,3,3,2008,2008
2008-06-30,ALM,ALABAMA,ALABAMA MIDDLE,ELEVENTH CIRCUIT,11TH,NA,1,0,0,0,2008,2008
2008-09-30,ALM,ALABAMA,ALABAMA MIDDLE,ELEVENTH CIRCUIT,11TH,4,1,0,0,0,2008,2008
2008-12-31,ALM,ALABAMA,ALABAMA MIDDLE,ELEVENTH CIRCUIT,11TH,NA,0.5,0,0,0,2008,2009
2009-03-31,ALM,ALABAMA,ALABAMA MIDDLE,ELEVENTH CIRCUIT,11TH,NA,0.5,0,0,0,2009,2009
2009-06-30,ALM,ALABAMA,ALABAMA MIDDLE,ELEVENTH CIRCUIT,11TH,NA,0.5,0,0,0,2009,2009
2009-09-30,ALM,ALABAMA,ALABAMA MIDDLE,ELEVENTH CIRCUIT,11TH,2,0.5,2,2,2,2009,2009
2009-12-31,ALM,ALABAMA,ALABAMA MIDDLE,ELEVENTH CIRCUIT,11TH,NA,1.25,1,1,1,2009,2010
2010-03-31,ALM,ALABAMA,ALABAMA MIDDLE,ELEVENTH CIRCUIT,11TH,NA,1.25,2,2,2,2010,2010
2010-06-30,ALM,ALABAMA,ALABAMA MIDDLE,ELEVENTH CIRCUIT,11TH,NA,1.25,1,1,1,2010,2010
2010-09-30,ALM,ALABAMA,ALABAMA MIDDLE,ELEVENTH CIRCUIT,11TH,5,1.25,1,1,1,2010,2010
2010-12-31,ALM,ALABAMA,ALABAMA MIDDLE,ELEVENTH CIRCUIT,11TH,NA,1,1,1,1,2010,2011
