DATE,DISTRICT,STATE,CIRCUIT,TOTAL_FILINGS,CHAP_7,CHAP_11,CHAP_12,CHAP_13,TOTAL_BUSINESS_FILINGS,BCHAP_7,BCHAP_11,BCHAP_12,BCHAP_13,TOTAL_NON_BUSINESS_FILINGS,NBCHAP_7,NBCHAP_11,NBCHAP_13
2013-01-31,ALABAMA MIDDLE,ALABAMA,ELEVENTH CIRCUIT,638,132,1,0,505,12,9,0,0,3,626,123,1,502
2013-01-31,ALABAMA NORTHERN,ALABAMA,ELEVENTH CIRCUIT,1055,494,8,0,553,27,19,7,0,1,1028,475,1,552
2013-01-31,ALABAMA SOUTHERN,ALABAMA,ELEVENTH CIRCUIT,341,79,3,0,259,9,6,3,0,0,332,73,0,259
2013-01-31,ALASKA,ALASKA,NINTH CIRCUIT,59,37,0,0,11,15,3,0,0,1,44,34,0,10
2013-01-31,ARIZONA,ARIZONA,NINTH CIRCUIT,1513,1259,19,0,235,64,46,13,0,5,1449,1213,6,230
2013-01-31,ARKANSAS EASTERN,ARKANSAS,EIGHTH CIRCUIT,608,259,1,1,347,6,3,1,1,1,602,256,0,346
2013-01-31,ARKANSAS WESTERN,ARKANSAS,EIGHTH CIRCUIT,355,208,3,0,144,11,8,2,0,1,344,200,1,143
2013-01-31,CALIFORNIA CENTRAL,CALIFORNIA,NINTH CIRCUIT,6835,5326,47,0,1462,201,162,26,0,13,6634,5164,21,1449
2013-01-31,CALIFORNIA EASTERN,CALIFORNIA,NINTH CIRCUIT,2401,1934,11,3,453,87,69,8,3,7,2314,1865,3,446
2013-01-31,CALIFORNIA NORTHERN,CALIFORNIA,NINTH CIRCUIT,1836,1051,24,1,760,59,41,14,1,3,1777,1010,10,757
2013-01-31,CALIFORNIA SOUTHERN,CALIFORNIA,NINTH CIRCUIT,1167,882,12,0,273,52,38,7,0,7,1115,844,5,266
2013-01-31,COLORADO,COLORADO,TENTH CIRCUIT,1465,1133,13,0,319,62,46,13,0,3,1403,1087,0,316
2013-01-31,CONNECTICUT,CONNECTICUT,SECOND CIRCUIT,623,545,14,0,64,33,19,14,0,0,590,526,0,64
2013-01-31,DELAWARE,DELAWARE,THIRD CIRCUIT,196,123,29,0,44,36,7,29,0,0,160,116,0,44
2013-01-31,DISTRICT OF COLUMBIA,DISTRICT OF COLUMBIA,DC CIRCUIT,64,49,1,0,14,4,3,0,0,1,60,46,1,13
2013-01-31,FLORIDA MIDDLE,FLORIDA,ELEVENTH CIRCUIT,3298,2312,54,2,930,165,100,44,2,19,3133,2212,10,911
2013-01-31,FLORIDA NORTHERN,FLORIDA,ELEVENTH CIRCUIT,256,208,7,1,40,22,14,6,1,1,234,194,1,39
2013-01-31,FLORIDA SOUTHERN,FLORIDA,ELEVENTH CIRCUIT,2548,1714,28,0,806,87,56,23,0,8,2461,1658,5,798
2013-01-31,GEORGIA MIDDLE,GEORGIA,ELEVENTH CIRCUIT,705,247,4,0,454,22,16,4,0,2,683,231,0,452
2013-01-31,GEORGIA NORTHERN,GEORGIA,ELEVENTH CIRCUIT,2749,1618,12,2,1117,84,66,12,2,4,2665,1552,0,1113
2013-01-31,GEORGIA SOUTHERN,GEORGIA,ELEVENTH CIRCUIT,694,154,3,0,537,13,8,3,0,2,681,146,0,535
2013-01-31,GUAM,GUAM,NINTH CIRCUIT,15,10,0,0,5,0,0,0,0,0,15,10,0,5
2013-01-31,HAWAII,HAWAII,NINTH CIRCUIT,162,115,1,0,46,7,3,1,0,3,155,112,0,43
2013-01-31,IDAHO,IDAHO,NINTH CIRCUIT,379,323,5,1,50,14,8,4,1,1,365,315,1,49
2013-01-31,ILLINOIS CENTRAL,ILLINOIS,SEVENTH CIRCUIT,480,363,2,0,115,16,14,2,0,0,464,349,0,115
2013-01-31,ILLINOIS NORTHERN,ILLINOIS,SEVENTH CIRCUIT,4402,2961,25,0,1416,125,100,20,0,5,4277,2861,5,1411
2013-01-31,ILLINOIS SOUTHERN,ILLINOIS,SEVENTH CIRCUIT,679,263,1,0,415,5,2,1,0,2,674,261,0,413
2013-01-31,INDIANA NORTHERN,INDIANA,SEVENTH CIRCUIT,722,482,5,0,235,18,14,4,0,0,704,468,1,235
2013-01-31,INDIANA SOUTHERN,INDIANA,SEVENTH CIRCUIT,1360,812,11,0,537,35,25,7,0,3,1325,787,4,534
2013-01-31,IOWA NORTHERN,IOWA,EIGHTH CIRCUIT,117,112,1,0,4,8,6,1,0,1,109,106,0,3
2013-01-31,IOWA SOUTHERN,IOWA,EIGHTH CIRCUIT,250,217,1,1,31,18,16,1,1,0,232,201,0,31
2013-01-31,KANSAS,KANSAS,TENTH CIRCUIT,520,322,3,2,193,16,10,2,2,2,504,312,1,191
2013-01-31,KENTUCKY EASTERN,KENTUCKY,SIXTH CIRCUIT,740,517,0,1,222,11,8,0,1,2,729,509,0,220
2013-01-31,KENTUCKY WESTERN,KENTUCKY,SIXTH CIRCUIT,683,480,1,0,202,16,13,1,0,2,667,467,0,200
2013-01-31,LOUISIANA EASTERN,LOUISIANA,FIFTH CIRCUIT,232,98,3,0,131,22,16,3,0,3,210,82,0,128
2013-01-31,LOUISIANA MIDDLE,LOUISIANA,FIFTH CIRCUIT,112,53,0,0,59,3,3,0,0,0,109,50,0,59
2013-01-31,LOUISIANA WESTERN,LOUISIANA,FIFTH CIRCUIT,741,134,2,2,603,7,1,1,2,3,734,133,1,600
2013-01-31,MAINE,MAINE,FIRST CIRCUIT,132,104,0,0,28,8,7,0,0,1,124,97,0,27
2013-01-31,MARYLAND,MARYLAND,FOURTH CIRCUIT,1788,1392,14,0,382,48,31,13,0,4,1740,1361,1,378
2013-01-31,MASSACHUSETTS,MASSACHUSETTS,FIRST CIRCUIT,1009,792,9,1,207,35,23,4,1,7,974,769,5,200
2013-01-31,MICHIGAN EASTERN,MICHIGAN,SIXTH CIRCUIT,2552,2078,9,3,462,49,33,6,3,7,2503,2045,3,455
2013-01-31,MICHIGAN WESTERN,MICHIGAN,SIXTH CIRCUIT,807,664,2,1,140,27,23,2,1,1,780,641,0,139
2013-01-31,MINNESOTA,MINNESOTA,EIGHTH CIRCUIT,1116,924,4,1,187,27,21,4,1,1,1089,903,0,186
2013-01-31,MISSISSIPPI NORTHERN,MISSISSIPPI,FIFTH CIRCUIT,369,155,1,0,213,9,7,1,0,1,360,148,0,212
2013-01-31,MISSISSIPPI SOUTHERN,MISSISSIPPI,FIFTH CIRCUIT,512,283,3,0,226,20,17,3,0,0,492,266,0,226
2013-01-31,MISSOURI EASTERN,MISSOURI,EIGHTH CIRCUIT,969,650,1,0,318,18,16,1,0,1,951,634,0,317
2013-01-31,MISSOURI WESTERN,MISSOURI,EIGHTH CIRCUIT,745,520,7,0,218,22,15,6,0,1,723,505,1,217
2013-01-31,MONTANA,MONTANA,NINTH CIRCUIT,121,87,3,0,31,9,5,2,0,2,112,82,1,29
2013-01-31,NEBRASKA,NEBRASKA,EIGHTH CIRCUIT,382,247,2,0,133,14,10,2,0,2,368,237,0,131
