DATE,DISTRICT,STATE,CIRCUIT,TOTAL_FILINGS,CHAP_7,CHAP_11,CHAP_12,CHAP_13,TOTAL_BUSINESS_FILINGS,BCHAP_7,BCHAP_11,BCHAP_12,BCHAP_13,TOTAL_NON_BUSINESS_FILINGS,NBCHAP_7,NBCHAP_11,NBCHAP_13
2001-03-31,ALABAMA MIDDLE,ALABAMA,ELEVENTH CIRCUIT,2068,1060,7,0,1001,37,26,5,0,6,2031,1034,2,995
2001-03-31,ALABAMA NORTHERN,ALABAMA,ELEVENTH CIRCUIT,5979,2874,22,0,3083,56,30,18,0,8,5923,2844,4,3075
2001-03-31,ALABAMA SOUTHERN,ALABAMA,ELEVENTH CIRCUIT,1648,800,7,1,840,14,5,7,1,1,1634,795,0,839
2001-03-31,ALASKA,ALASKA,NINTH CIRCUIT,320,282,5,0,33,30,18,5,0,7,290,264,0,26
2001-03-31,ARIZONA,ARIZONA,NINTH CIRCUIT,5695,4515,76,0,1104,198,98,69,0,31,5497,4417,7,1073
2001-03-31,ARKANSAS EASTERN,ARKANSAS,EIGHTH CIRCUIT,3515,1923,5,0,1587,52,23,5,0,24,3463,1900,0,1563
2001-03-31,ARKANSAS WESTERN,ARKANSAS,EIGHTH CIRCUIT,2100,1491,3,0,606,31,18,3,0,10,2069,1473,0,596
2001-03-31,CALIFORNIA CENTRAL,CALIFORNIA,NINTH CIRCUIT,21888,17984,106,0,3797,621,469,91,0,60,21267,17515,15,3737
2001-03-31,CALIFORNIA EASTERN,CALIFORNIA,NINTH CIRCUIT,8315,7154,33,0,1128,307,199,30,0,78,8008,6955,3,1050
2001-03-31,CALIFORNIA NORTHERN,CALIFORNIA,NINTH CIRCUIT,5048,3548,81,0,1418,302,148,80,0,73,4746,3400,1,1345
2001-03-31,CALIFORNIA SOUTHERN,CALIFORNIA,NINTH CIRCUIT,3292,2599,18,0,674,38,22,14,0,1,3254,2577,4,673
2001-03-31,COLORADO,COLORADO,TENTH CIRCUIT,4296,3663,20,1,612,134,106,20,1,7,4162,3557,0,605
2001-03-31,CONNECTICUT,CONNECTICUT,SECOND CIRCUIT,3072,2682,22,1,367,38,19,18,1,0,3034,2663,4,367
2001-03-31,DELAWARE,DELAWARE,THIRD CIRCUIT,1136,518,340,0,278,370,30,340,0,0,766,488,0,278
2001-03-31,DISTRICT OF COLUMBIA,DISTRICT OF COLUMBIA,DC CIRCUIT,690,498,6,0,186,6,0,6,0,0,684,498,0,186
2001-03-31,FLORIDA MIDDLE,FLORIDA,ELEVENTH CIRCUIT,11486,8140,70,1,3275,216,130,65,1,20,11270,8010,5,3255
2001-03-31,FLORIDA NORTHERN,FLORIDA,ELEVENTH CIRCUIT,1556,1218,12,0,326,19,9,10,0,0,1537,1209,2,326
2001-03-31,FLORIDA SOUTHERN,FLORIDA,ELEVENTH CIRCUIT,7294,5028,59,0,2207,159,103,55,0,1,7135,4925,4,2206
2001-03-31,GEORGIA MIDDLE,GEORGIA,ELEVENTH CIRCUIT,4139,1951,5,0,2183,22,13,4,0,5,4117,1938,1,2178
2001-03-31,GEORGIA NORTHERN,GEORGIA,ELEVENTH CIRCUIT,9319,4289,45,0,4984,225,104,41,0,79,9094,4185,4,4905
2001-03-31,GEORGIA SOUTHERN,GEORGIA,ELEVENTH CIRCUIT,3339,1016,8,0,2314,28,17,8,0,2,3311,999,0,2312
2001-03-31,GUAM,GUAM,NINTH CIRCUIT,59,48,1,0,10,6,3,1,0,2,53,45,0,8
2001-03-31,HAWAII,HAWAII,NINTH CIRCUIT,1300,1186,4,0,110,14,11,2,0,1,1286,1175,2,109
2001-03-31,IDAHO,IDAHO,NINTH CIRCUIT,1925,1602,20,1,302,73,45,19,1,8,1852,1557,1,294
2001-03-31,ILLINOIS CENTRAL,ILLINOIS,SEVENTH CIRCUIT,3684,3172,17,1,494,45,25,16,1,3,3639,3147,1,491
2001-03-31,ILLINOIS NORTHERN,ILLINOIS,SEVENTH CIRCUIT,12672,8901,45,0,3726,175,128,43,0,4,12497,8773,2,3722
2001-03-31,ILLINOIS SOUTHERN,ILLINOIS,SEVENTH CIRCUIT,2295,1690,7,0,598,147,97,7,0,43,2148,1593,0,555
2001-03-31,INDIANA NORTHERN,INDIANA,SEVENTH CIRCUIT,4381,3667,21,0,693,54,29,18,0,7,4327,3638,3,686
2001-03-31,INDIANA SOUTHERN,INDIANA,SEVENTH CIRCUIT,6631,5153,22,1,1455,89,63,21,1,4,6542,5090,1,1451
2001-03-31,IOWA NORTHERN,IOWA,EIGHTH CIRCUIT,1042,1011,3,0,28,46,43,3,0,0,996,968,0,28
2001-03-31,IOWA SOUTHERN,IOWA,EIGHTH CIRCUIT,1482,1366,4,1,111,21,16,4,1,0,1461,1350,0,111
2001-03-31,KANSAS,KANSAS,TENTH CIRCUIT,3157,2623,19,0,515,54,29,18,0,7,3103,2594,1,508
2001-03-31,KENTUCKY EASTERN,KENTUCKY,SIXTH CIRCUIT,2949,2536,71,0,342,141,58,71,0,12,2808,2478,0,330
2001-03-31,KENTUCKY WESTERN,KENTUCKY,SIXTH CIRCUIT,3736,3049,19,0,668,55,35,19,0,1,3681,3014,0,667
2001-03-31,LOUISIANA EASTERN,LOUISIANA,FIFTH CIRCUIT,2520,1667,19,0,834,46,27,18,0,1,2474,1640,1,833
2001-03-31,LOUISIANA MIDDLE,LOUISIANA,FIFTH CIRCUIT,731,540,2,0,189,6,4,2,0,0,725,536,0,189
