DATE,DISTRICT,STATE,CIRCUIT,CHAP_12
1987-03-31,ALABAMA MIDDLE,ALABAMA,ELEVENTH CIRCUIT,26
1987-03-31,ALABAMA NORTHERN,ALABAMA,ELEVENTH CIRCUIT,23
1987-03-31,ALABAMA SOUTHERN,ALABAMA,ELEVENTH CIRCUIT,1
1987-03-31,ALASKA,ALASKA,NINTH CIRCUIT,0
1987-03-31,ARIZONA,ARIZONA,NINTH CIRCUIT,8
1987-03-31,ARKANSAS,ARKANSAS,EIGHTH CIRCUIT,0
1987-03-31,ARKANSAS EASTERN,ARKANSAS,EIGHTH CIRCUIT,29
1987-03-31,ARKANSAS WESTERN,ARKANSAS,EIGHTH CIRCUIT,10
1987-03-31,CALIFORNIA CENTRAL,CALIFORNIA,NINTH CIRCUIT,5
1987-03-31,CALIFORNIA EASTERN,CALIFORNIA,NINTH CIRCUIT,60
1987-03-31,CALIFORNIA NORTHERN,CALIFORNIA,NINTH CIRCUIT,7
1987-03-31,CALIFORNIA SOUTHERN,CALIFORNIA,NINTH CIRCUIT,2
1987-03-31,COLORADO,COLORADO,TENTH CIRCUIT,42
1987-03-31,CONNECTICUT,CONNECTICUT,SECOND CIRCUIT,1
1987-03-31,DELAWARE,DELAWARE,THIRD CIRCUIT,0
1987-03-31,DISTRICT OF COLUMBIA,DISTRICT OF COLUMBIA,DC CIRCUIT,0
1987-03-31,FLORIDA MIDDLE,FLORIDA,ELEVENTH CIRCUIT,7
1987-03-31,FLORIDA NORTHERN,FLORIDA,ELEVENTH CIRCUIT,14
1987-03-31,FLORIDA SOUTHERN,FLORIDA,ELEVENTH CIRCUIT,1
1987-03-31,GEORGIA MIDDLE,GEORGIA,ELEVENTH CIRCUIT,68
1987-03-31,GEORGIA NORTHERN,GEORGIA,ELEVENTH CIRCUIT,1
1987-03-31,GEORGIA SOUTHERN,GEORGIA,ELEVENTH CIRCUIT,26
1987-03-31,GUAM,GUAM,NINTH CIRCUIT,0
1987-03-31,HAWAII,HAWAII,NINTH CIRCUIT,0
1987-03-31,IDAHO,IDAHO,NINTH CIRCUIT,82
