DATE,TOTAL_FILINGS,CHAP_7,CHAP_11,CHAP_12,CHAP_13,TOTAL_BUSINESS_FILINGS,BCHAP_7,BCHAP_11,BCHAP_12,BCHAP_13,TOTAL_NON_BUSINESS_FILINGS,NBCHAP_7,NBCHAP_11,NBCHAP_13
2007-01-31,57240,32675,478,24,24063,2012,1289,438,24,261,55228,31386,40,23802
2007-02-28,60545,36367,440,33,23702,1989,1299,397,33,257,58556,35068,43,23445
2007-03-31,75856,48688,488,47,26631,2279,1483,448,47,299,73577,47205,40,26332
2007-04-30,69525,43557,490,27,25448,2072,1327,441,27,274,67453,42230,49,25174
2007-05-31,71882,45715,562,51,25550,2392,1551,519,51,267,69490,44164,43,25283
2007-06-30,69042,42241,522,34,26243,2241,1455,470,34,280,66801,40786,52,25963
2007-07-31,70869,43081,554,22,27203,2390,1618,506,22,235,68479,41463,48,26968
2007-08-31,78963,47458,617,29,30853,2562,1641,546,29,340,76401,45817,71,30513
2007-09-30,69077,41469,412,20,27164,2215,1557,358,20,269,66862,39912,54,26895
2007-10-31,83242,50718,604,27,31893,2769,1898,534,27,310,80473,48820,70,31583
2007-11-30,75814,45797,711,25,29278,2717,1752,659,25,278,73097,44045,52,29000
2007-12-31,67357,41097,478,25,25753,2499,1770,419,25,281,64858,39327,59,25472
2008-01-31,72116,43783,705,26,27599,2784,1840,638,26,277,69332,41943,67,27322
2008-02-28,81406,52329,703,25,28349,2924,1996,630,25,273,78482,50333,73,28076
2008-03-31,92173,62390,604,30,29149,3005,2123,544,30,308,89168,60267,60,28841
2008-04-30,93834,64561,613,32,28621,3181,2316,526,32,300,90653,62245,87,28321
2008-05-31,91250,61726,646,24,28849,3369,2433,572,24,335,87881,59293,74,28514
2008-06-30,91426,61109,629,29,29654,3193,2294,560,29,305,88233,58815,69,29349
2008-07-31,98202,66490,797,32,30881,3715,2611,727,32,343,94487,63879,70,30538
2008-08-31,96056,63084,1087,27,31842,3916,2543,1001,27,329,92140,60541,86,31513
2008-09-30,98033,65580,828,30,31593,3873,2773,757,30,311,94160,62807,71,31282
2008-10-31,110728,74102,965,28,35627,4292,3036,881,28,342,106436,71066,84,35285
2008-11-30,92955,61517,1071,25,30338,3980,2632,1005,25,314,88975,58885,66,30024
2008-12-31,97634,66499,1139,37,29940,4629,3204,1055,37,314,93005,63295,84,29626
2009-01-31,91147,60470,1093,35,29533,4378,2988,1014,35,325,86769,57482,79,29208
2009-02-28,105048,73415,1063,25,30539,4440,3076,998,25,335,100608,70339,65,30204
2009-03-31,134282,99575,1523,42,33123,5501,3636,1419,42,385,128781,95939,104,32738
2009-04-30,130558,95733,1621,49,33114,5604,3585,1504,49,425,124954,92148,117,32689
2009-05-31,122816,88738,1324,44,32702,5055,3429,1203,44,371,117761,85309,121,32331
2009-06-30,127699,91572,1403,46,34667,5355,3661,1258,46,379,122344,87911,145,34288
2009-07-31,133187,94770,1270,62,37073,5437,3790,1132,62,441,127750,90980,138,36632
2009-08-31,127391,90246,1113,43,35987,4887,3522,972,43,348,122504,86724,141,35639
2009-09-30,127907,91503,1122,50,35229,4853,3486,956,50,358,123054,88017,166,34871
2009-10-31,135131,95448,1328,51,38298,5293,3681,1183,51,372,129838,91767,145,37926
2009-11-30,117792,82818,1185,53,33720,4621,3186,1038,53,328,113171,79632,147,33392
2009-12-31,119280,85491,1100,44,32637,5106,3737,955,44,362,114174,81754,145,32275
2010-01-31,105157,72465,1311,59,31317,4723,3160,1143,59,357,100434,69305,168,30960
2010-02-28,120517,87366,1091,48,31998,4497,3153,961,48,322,116020,84213,130,31676
2010-03-31,162474,122291,1331,56,38779,5387,3761,1189,56,364,157087,118530,142,38415
2010-04-30,149319,111063,1237,68,36940,5174,3655,1055,68,386,144145,107408,182,36554
2010-05-31,136015,99030,1114,67,35802,4645,3291,937,67,348,131370,95739,177,35454
2010-06-30,136727,99587,1019,59,36056,4633,3365,867,59,337,132094,96222,152,35719
2010-07-31,137324,97653,1219,63,38387,4727,3282,1043,63,337,132597,94371,176,38050
2010-08-31,138359,98012,1005,69,39268,4578,3351,837,69,316,133781,94661,168,38952
2010-09-30,136697,94148,1216,70,41249,4652,3174,1036,70,358,132045,90974,180,40891
2010-10-31,132330,92414,953,54,38868,4339,3088,784,54,372,127991,89326,169,38496
2010-11-30,120658,84292,1195,48,35117,4376,2959,1052,48,312,116282,81333,143,34805
2010-12-31,117092,80962,1000,62,35061,4315,3095,846,62,305,112777,77867,154,34756
2011-01-31,104753,70157,1046,63,33469,4077,2802,893,63,301,100676,67355,153,33168
2011-02-28,112207,79332,1000,52,31819,3778,2598,840,52,284,108429,76734,160,31535
2011-03-31,149218,111464,1017,66,36667,4521,3215,872,66,364,144697,108249,145,36303
2011-04-30,132563,97164,1036,63,34294,4204,2948,890,63,297,128359,94216,146,33997
2011-05-31,125529,90889,976,53,33603,4077,2916,821,53,279,121452,87973,155,33324
2011-06-30,121698,86375,996,50,34270,4023,2805,856,50,305,117675,83570,140,33965
2011-07-31,112468,78664,833,54,32913,3681,2668,679,54,278,108787,75996,154,32635
2011-08-31,123425,86359,942,49,36070,4215,3051,788,49,322,119210,83308,154,35748
2011-09-30,112742,76942,921,58,34819,3809,2669,778,58,302,108933,74273,143,34517
2011-10-31,113906,77233,937,36,35696,3712,2584,775,36,313,110194,74649,162,35383
2011-11-30,100961,69666,817,41,30434,3614,2606,696,41,268,97347,67060,121,30166
