DATE,CHAP_12
1995-12-31,236
1996-03-31,315
1996-06-30,314
1996-09-30,229
1996-12-31,224
1997-03-31,282
1997-06-30,271
1997-09-30,188
1997-12-31,205
1998-03-31,212
1998-06-30,234
1998-09-30,222
1998-12-31,136
1999-03-31,266
1999-06-30,205
1999-09-30,199
1999-12-31,154
2000-03-31,169
2000-06-30,201
2000-09-30,19
2000-12-31,13
2001-03-31,12
2001-06-30,160
2001-09-30,194
2001-12-31,17
2002-03-31,17
2002-06-30,137
2002-09-30,151
2002-12-31,179
2003-03-31,162
2003-06-30,279
2003-09-30,74
2003-12-31,195
2004-03-31,18
2004-06-30,10
2004-09-30,9
2004-12-31,71
2005-03-31,99
2005-06-30,109
2005-09-30,83
2005-12-31,87
2006-03-31,84
2006-06-30,99
2006-09-30,97
2006-12-31,74
2007-03-31,104
2007-06-30,112
2007-09-30,71
2007-12-31,77
2008-03-31,81
2008-06-30,85
2008-09-30,89
2008-12-31,90
2009-03-31,102
2009-06-30,139
2009-09-30,155
2009-12-31,148
2010-03-31,163
2010-06-30,194
2010-09-30,202
2010-12-31,164
2011-03-31,181
2011-06-30,166
2011-09-30,161
2011-12-31,127
2012-03-31,152
2012-06-30,142
2012-09-30,118
2012-12-31,98
2013-03-31,103
2013-06-30,107
2013-09-30,97
2013-12-31,88
2014-03-31,96
2014-06-30,113
2014-09-30,74
2014-12-31,77
2015-03-31,89
2015-06-30,116
2015-09-30,100
2015-12-31,102
2016-03-31,122
2016-06-30,135
2016-09-30,99
2016-12-31,105
2017-03-31,118
2017-06-30,159
2017-09-30,125
2017-12-31,99
2018-03-31,116
2018-06-30,135
2018-09-30,118
2018-12-31,129
2019-03-31,130
2019-06-30,164
2019-09-30,159
2019-12-31,146
2020-03-31,169
2020-06-30,115
2020-09-30,151
2020-12-31,120
2021-03-31,98
2021-06-30,74
2021-09-30,57
2021-12-31,47
2022-03-31,50
2022-06-30,47
2022-09-30,38
2022-12-31,34
2023-03-31,0
